Dataset,RWPE,Model,BACC (Graph Norm),AUROC (Graph Norm),F1 (Graph Norm),BACC (Batch Norm),AUROC (Batch Norm),F1 (Batch Norm),BACC (Graph Norm OP),AUROC (Graph Norm OP),F1 (Graph Norm OP),Threshold
BFS,FALSE,dgcn,0.715,0.809,0.155,0.704,0.783,0.141,0.577,0.807,0.131,0.925
BFS,FALSE,gat,0.699,0.792,0.153,0.681,0.717,0.101,0.598,0.843,0.241,0.961
BFS,FALSE,gcn,0.648,0.706,0.141,0.619,0.637,0.059,0.581,0.784,0.197,0.967
BFS,FALSE,gps,0.651,0.681,0.166,0.647,0.669,0.034,0.656,0.807,0.111,0.797
BFS,FALSE,gs,0.752,0.837,0.171,0.748,0.815,0.147,0.644,0.877,0.282,0.971
BFS,FALSE,rggcn,0.767,0.847,0.184,0.759,0.825,0.151,0.644,0.896,0.308,0.972
BFS,TRUE,dgcn,0.723,0.816,0.158,0.701,0.786,0.141,0.572,0.829,0.149,0.953
BFS,TRUE,gat,0.691,0.779,0.156,0.682,0.742,0.101,0.611,0.847,0.271,0.971
BFS,TRUE,gcn,0.648,0.709,0.143,0.616,0.631,0.063,0.592,0.777,0.209,0.951
BFS,TRUE,gps,0.643,0.677,0.166,0.644,0.651,0.097,0.661,0.811,0.124,0.801
BFS,TRUE,gs,0.752,0.834,0.173,0.745,0.813,0.149,0.637,0.881,0.291,0.969
BFS,TRUE,rggcn,0.766,0.838,0.175,0.757,0.827,0.159,0.645,0.894,0.309,0.972
BFS,FALSE,lgbm,0.787,0.916,0.182,0,0,0,0,0,0,
RFS,FALSE,dgcn,0.656,0.761,0.189,0.647,0.746,0.192,0.631,0.806,0.148,0.918
RFS,FALSE,gat,0.612,0.705,0.185,0.591,0.681,0.163,0.621,0.801,0.311,0.978
RFS,FALSE,gcn,0.582,0.648,0.181,0.568,0.614,0.089,0.619,0.769,0.253,0.971
RFS,FALSE,gps,0.499,0.501,0.165,0.499,0.499,0.169,0.622,0.681,0.211,0.919
RFS,FALSE,gs,0.672,0.777,0.196,0.659,0.768,0.153,0.642,0.837,0.329,0.979
RFS,FALSE,rggcn,0.681,0.775,0.202,0.667,0.771,0.195,0.641,0.849,0.326,0.986
RFS,TRUE,dgcn,0.644,0.762,0.194,0.645,0.757,0.203,0.581,0.791,0.139,0.936
RFS,TRUE,gat,0.614,0.709,0.184,0.584,0.675,0.143,0.636,0.803,0.316,0.972
RFS,TRUE,gcn,0.584,0.644,0.179,0.567,0.605,0.077,0.628,0.771,0.266,0.962
RFS,TRUE,gps,0.501,0.523,0.167,0.499,0.501,0.003,0.624,0.679,0.205,0.921
RFS,TRUE,gs,0.672,0.769,0.201,0.663,0.759,0.154,0.614,0.831,0.278,0.987
RFS,TRUE,rggcn,0.679,0.781,0.203,0.672,0.771,0.199,0.645,0.847,0.306,0.979
RFS,FALSE,lgbm,0.786,0.915,0.207,0,0,0,0,0,0,
BFRON,FALSE,dgcn,0.592,0.768,0.202,0.668,0.757,0.213,0.578,0.821,0.148,0.944
BFRON,FALSE,gat,0.629,0.761,0.203,0.618,0.685,0.156,0.646,0.861,0.338,0.962
BFRON,FALSE,gcn,0.557,0.657,0.199,0.558,0.572,0.091,0.642,0.797,0.288,0.964
BFRON,FALSE,gps,0.625,0.627,0.211,0.552,0.635,0.105,0.641,0.842,0.221,0.945
BFRON,FALSE,gs,0.686,0.811,0.235,0.672,0.781,0.186,0.662,0.896,0.342,0.977
BFRON,FALSE,rggcn,0.699,0.819,0.239,0.688,0.791,0.211,0.663,0.909,0.354,0.984
BFRON,TRUE,dgcn,0.654,0.783,0.217,0.658,0.747,0.211,0.566,0.806,0.126,0.978
BFRON,TRUE,gat,0.612,0.752,0.199,0.621,0.694,0.168,0.638,0.863,0.314,0.975
BFRON,TRUE,gcn,0.563,0.661,0.201,0.552,0.575,0.083,0.647,0.797,0.311,0.964
BFRON,TRUE,gps,0.631,0.628,0.215,0.551,0.633,0.099,0.644,0.851,0.232,0.953
BFRON,TRUE,gs,0.681,0.807,0.232,0.706,0.797,0.218,0.646,0.899,0.341,0.982
BFRON,TRUE,rggcn,0.699,0.818,0.241,0.691,0.784,0.218,0.667,0.911,0.361,0.984
BFRON,FALSE,lgbm,0.794,0.917,0.222,0,0,0,0,0,0,0.5
FS,FALSE,dgcn,0.734,0.781,0.046,0.731,0.781,0.047,0.571,0.777,0.144,0.927
FS,FALSE,gat,0.713,0.754,0.043,0.709,0.754,0.046,0.572,0.764,0.146,0.935
FS,FALSE,gcn,0.686,0.745,0.042,0.678,0.731,0.043,0.605,0.745,0.127,0.847
FS,FALSE,gps,0.801,0.843,0.075,0.796,0.838,0.085,0.606,0.853,0.207,0.948
FS,FALSE,gs,0.758,0.802,0.054,0.756,0.804,0.066,0.558,0.807,0.146,0.955
FS,FALSE,rggcn,0.833,0.879,0.092,0.828,0.877,0.109,0.616,0.882,0.256,0.958
FS,TRUE,dgcn,0.736,0.783,0.046,0.731,0.782,0.048,0.581,0.785,0.157,0.921
FS,TRUE,gat,0.707,0.755,0.038,0.707,0.751,0.045,0.574,0.768,0.152,0.931
FS,TRUE,gcn,0.688,0.745,0.043,0.678,0.731,0.042,0.604,0.745,0.131,0.832
FS,TRUE,gps,0.811,0.823,0.049,0.794,0.831,0.082,0.621,0.856,0.224,0.941
FS,TRUE,gs,0.757,0.802,0.053,0.757,0.805,0.064,0.562,0.807,0.151,0.961
FS,TRUE,rggcn,0.831,0.879,0.091,0.831,0.873,0.105,0.611,0.882,0.259,0.973
FS,FALSE,lgbm,0.792,0.917,0.221,0,0,0,0,0,0,0.5
MHRW,FALSE,dgcn,0.758,0.796,0.041,0.758,0.794,0.083,0.585,0.796,0.121,0.825
MHRW,FALSE,gat,0.751,0.785,0.046,0.755,0.791,0.078,0.563,0.778,0.126,0.885
MHRW,FALSE,gcn,0.686,0.745,0.042,0.691,0.728,0.059,0.542,0.719,0.059,0.821
MHRW,FALSE,gps,0.775,0.813,0.054,0.768,0.826,0.087,0.551,0.825,0.101,0.936
MHRW,FALSE,gs,0.781,0.813,0.051,0.781,0.823,0.094,0.551,0.819,0.121,0.943
MHRW,FALSE,rggcn,0.833,0.879,0.092,0.796,0.849,0.101,0.552,0.848,0.131,0.959
MHRW,TRUE,dgcn,0.759,0.796,0.041,0.758,0.797,0.066,0.569,0.795,0.118,0.872
MHRW,TRUE,gat,0.752,0.771,0.042,0.755,0.794,0.079,0.571,0.794,0.125,0.927
MHRW,TRUE,gcn,0.693,0.711,0.045,0.689,0.725,0.061,0.543,0.719,0.057,0.814
MHRW,TRUE,gps,0.771,0.823,0.049,0.761,0.813,0.079,0.564,0.821,0.105,0.927
MHRW,TRUE,gs,0.782,0.823,0.046,0.779,0.822,0.091,0.555,0.818,0.118,0.941
MHRW,TRUE,rggcn,0.842,0.889,0.061,0.797,0.851,0.105,0.563,0.849,0.137,0.934
MHRW,FALSE,lgbm,0.748,0.913,0.121,0,0,0,0,0,0,0.5
